"BMD Export","BMD-Export"
"Standard Profile","Standardprofil"
"CSV Format","CSV-Format"
"Delimiter","Trennzeichen"
"Encoding","Zeichenkodierung"
"Decimal Separator","Dezimaltrennzeichen"
"Date Format","Datumsformat"
"Line Ending","Zeilenende"
"Decimal Precision","Dezimalstellen"
"Money Precision","Dezimalstellen für Beträge"
"Tax Rate Precision","Dezimalstellen für Steuersätze"
"Exchange Rate Precision","Dezimalstellen für Wechselkurse"
"Quantity Precision","Dezimalstellen für Mengen"
"BMD Columns","BMD-Spalten"
"Columns","Spalten"
"BMD Field Name","BMD-Feldname"
"Export Overview","Exportübersicht"
"Revision","Revision"
"Supersedes","Ersetzt"
"Selection","Auswahl"
"Sales Invoices","Ausgangsrechnungen"
"Purchase Invoices","Eingangsrechnungen"
"Audit","Protokoll"
"Requested By","Angefordert von"
"Requested At","Angefordert am"
"Started At","Gestartet am"
"Completed At","Abgeschlossen am"
"Progress","Fortschritt"
"Summary","Zusammenfassung"
"Sales Gross","Ausgangsrechnungen brutto"
"Purchase Gross","Eingangsrechnungen brutto"
"Net Total","Nettosumme"
"Tax Total","Steuersumme"
"Gross Total","Bruttosumme"
"Booking Lines","Buchungszeilen"
"Document Lines","Dokumentzeilen"
"Artifacts","Exportdateien"
"BMD CSV","BMD-CSV"
"Transport ZIP","Transport-ZIP"
"Snapshots and Validation","Snapshots und Validierung"
"Settings/Profile Snapshot","Einstellungs-/Profil-Snapshot"
"Mapping Snapshot","Zuordnungs-Snapshot"
"Validation Log","Validierungsprotokoll"
"Artifact Retention Log","Aufbewahrungsprotokoll"
"Invoice","Rechnung"
"Batch","Exportlauf"
"Voucher Type","Belegart"
"Voucher","Beleg"
"Posting Date","Buchungsdatum"
"Fingerprint","Fingerabdruck"
"Document Hashes","Dokumentprüfsummen"
"Errors","Fehler"
"Warnings","Warnungen"
"ERPNext Name","ERPNext-Name"
"Supplier Invoice Number","Lieferantenrechnungsnummer"
"Cost Center","Kostenstelle"
"Project","Projekt"
"Accounting Dimension","Buchhaltungsdimension"
"Sales","Verkauf"
"Purchase","Einkauf"
"Both","Beide"
"Customer","Kunde"
"Supplier","Lieferant"
"ERP Item Tax Detail","ERPNext-Artikelsteuerdetail"
"Net Amount x Rate","Nettobetrag × Steuersatz"
"Zero","Null"
"Standard Output Tax","Standard-Umsatzsteuer"
"Standard Input Tax","Standard-Vorsteuer"
"Output-side Tax","Ausgangsseitige Steuer"
"Draft","Entwurf"
"Validating","Wird validiert"
"Invalid","Ungültig"
"Ready","Bereit"
"Generating","Wird erzeugt"
"Completed","Abgeschlossen"
"Failed","Fehlgeschlagen"
"Superseded","Ersetzt"
"Valid","Gültig"
"Exported","Exportiert"
"Skipped","Übersprungen"
"Core settings for one ERPNext company and its BMD target.","Grundeinstellungen für ein ERPNext-Unternehmen und dessen BMD-Ziel."
"ERPNext company for which this BMD export configuration applies.","ERPNext-Unternehmen, für das diese BMD-Exportkonfiguration gilt."
"Only enabled settings are available to the export workflow.","Nur aktivierte Einstellungen stehen dem Exportablauf zur Verfügung."
"Optional company identifier expected by the target BMD tenant.","Optionale Firmennummer, die vom Zielmandanten in BMD erwartet wird."
"Controls the exported columns, encoding and number formats.","Steuert die exportierten Spalten, die Kodierung und die Zahlenformate."
"Plain filename used for the booking CSV inside the export package.","Einfacher Dateiname für die Buchungs-CSV im Exportpaket."
"Controls how ERPNext invoices are represented in BMD booking rows.","Steuert, wie ERPNext-Rechnungen in BMD-Buchungszeilen dargestellt werden."
"Writes the invoice posting date to the BMD booking-date field.","Schreibt das Buchungsdatum der Rechnung in das BMD-Buchungsdatumsfeld."
"Selects whether the ERPNext document name or supplier invoice number becomes the BMD voucher number.","Legt fest, ob der ERPNext-Belegname oder die Lieferantenrechnungsnummer zur BMD-Belegnummer wird."
"Exports cost allocations as separate BMD Satzart 1 rows instead of fields on the booking row.","Exportiert Kostenaufteilungen als eigene BMD-Satzart-1-Zeilen statt als Felder der Buchungszeile."
"BMD foreign-currency variant 1 leaves the exchange rate empty. Enable only if the target import requires fwkurs.","Die BMD-Fremdwährungsvariante 1 lässt den Wechselkurs leer. Nur aktivieren, wenn der Zielimport fwkurs benötigt."
"Fallback BMD cost center when no dimension mapping supplies a cost center.","Standard-BMD-Kostenstelle, falls keine Dimensionszuordnung eine Kostenstelle liefert."
"Fallback BMD branch used when the selected tax mapping has no branch.","Standard-BMD-Filiale, wenn die ausgewählte Steuerzuordnung keine Filiale enthält."
"Defines which invoice documents are required and may be included in the transport package.","Legt fest, welche Rechnungsdokumente erforderlich sind und in das Transportpaket aufgenommen werden dürfen."
"Blocks the export of a Sales Invoice when no permitted document is available.","Blockiert den Export einer Ausgangsrechnung, wenn kein zulässiges Dokument vorhanden ist."
"Blocks the export of a Purchase Invoice when no permitted document is available.","Blockiert den Export einer Eingangsrechnung, wenn kein zulässiges Dokument vorhanden ist."
"Comma-separated file extensions accepted for exported attachments, without dots.","Kommagetrennte Dateiendungen für exportierte Anhänge, ohne Punkte."
"Comma-separated MIME types accepted after content validation.","Kommagetrennte MIME-Typen, die nach der Inhaltsprüfung akzeptiert werden."
"Maximum permitted size of one exported attachment.","Maximal zulässige Größe eines exportierten Anhangs."
"Creates a PDF from the Sales Invoice print view when no attachment exists.","Erzeugt ein PDF aus der Druckansicht der Ausgangsrechnung, wenn kein Anhang vorhanden ist."
"Print Format used to create the fallback Sales Invoice PDF.","Druckformat zur Erzeugung des ersatzweisen Ausgangsrechnungs-PDFs."
"Jinja template for the exported filename stem. The verified original extension is appended automatically. Applied to every new exported attachment; the original ERPNext filename remains unchanged.","Jinja-Vorlage für den exportierten Dateinamen ohne Endung. Die geprüfte Originalendung wird automatisch angefügt. Gilt für jeden neu exportierten Anhang; der ursprüngliche ERPNext-Dateiname bleibt unverändert."
"Safety limits for export size and storage duration.","Sicherheitsgrenzen für Exportgröße und Speicherdauer."
"Maximum number of BMD booking rows allowed in one export batch.","Maximale Anzahl zulässiger BMD-Buchungszeilen in einem Exportlauf."
"Number of days generated CSV and ZIP artifacts are retained before cleanup.","Anzahl der Tage, die erzeugte CSV- und ZIP-Dateien vor der Bereinigung aufbewahrt werden."
"Identification and availability of this reusable export profile.","Bezeichnung und Verfügbarkeit dieses wiederverwendbaren Exportprofils."
"Unique name shown when selecting an export profile in company settings.","Eindeutiger Name bei der Auswahl eines Exportprofils in den Unternehmenseinstellungen."
"Inactive profiles cannot be selected for new exports.","Inaktive Profile können für neue Exporte nicht ausgewählt werden."
"Marks the immutable profile installed and maintained by the app.","Kennzeichnet das unveränderliche, von der App installierte und gepflegte Profil."
"Technical CSV format expected by the target BMD import definition.","Technisches CSV-Format, das von der BMD-Importdefinition erwartet wird."
"Character separating fields in each CSV row.","Zeichen zur Trennung der Felder in jeder CSV-Zeile."
"Character encoding used to create the CSV file.","Zeichenkodierung zur Erstellung der CSV-Datei."
"Character used between integer and fractional digits.","Zeichen zwischen Ganzzahl- und Nachkommastellen."
"Python strftime pattern used for exported dates.","Python-strftime-Muster für exportierte Datumswerte."
"Line ending required by the BMD import environment.","Von der BMD-Importumgebung benötigtes Zeilenende."
"Number of decimal places written for each numeric value type.","Anzahl der ausgegebenen Dezimalstellen je numerischem Werttyp."
"Decimal places used for monetary amounts.","Dezimalstellen für Geldbeträge."
"Decimal places used for tax percentages.","Dezimalstellen für Steuerprozentsätze."
"Decimal places used for foreign exchange rates.","Dezimalstellen für Fremdwährungskurse."
"Decimal places used for exported quantities.","Dezimalstellen für exportierte Mengen."
"Defines the exact BMD fields and their order in the CSV header.","Legt die exakten BMD-Felder und deren Reihenfolge im CSV-Kopf fest."
"Ordered list of supported BMD field names; required fields must remain present.","Geordnete Liste unterstützter BMD-Feldnamen; Pflichtfelder müssen enthalten bleiben."
"Technical BMD column name written to the CSV header.","Technischer BMD-Spaltenname im CSV-Kopf."
"BMD account-master entry available as a target for account mappings.","BMD-Kontenstammeintrag, der als Ziel für Kontenzuordnungen verfügbar ist."
"ERPNext company whose BMD chart of accounts contains this account.","ERPNext-Unternehmen, dessen BMD-Kontenplan dieses Konto enthält."
"Numeric account identifier used by BMD NTCS.","Numerische Kontokennung in BMD NTCS."
"Human-readable name imported from or maintained for the BMD account.","Lesbare Bezeichnung des importierten oder gepflegten BMD-Kontos."
"Optional source classification from the BMD account master.","Optionale Klassifizierung aus dem BMD-Kontenstamm."
"Only active BMD accounts can be resolved by mappings.","Nur aktive BMD-Konten können durch Zuordnungen aufgelöst werden."
"Tracks where and when this account-master entry was imported.","Dokumentiert Quelle und Zeitpunkt des Kontenstammimports."
"Optional name of the source file, export or account-master version.","Optionaler Name der Quelldatei, des Exports oder der Kontenstammversion."
"Timestamp of the latest account import that created or updated this entry.","Zeitpunkt des letzten Kontenimports, der diesen Eintrag erstellt oder aktualisiert hat."
"Maps one ERPNext income or expense account to a BMD general-ledger account.","Ordnet ein ERPNext-Erlös- oder Aufwandskonto einem BMD-Sachkonto zu."
"Company for which this mapping is evaluated.","Unternehmen, für das diese Zuordnung ausgewertet wird."
"ERPNext income or expense account used on the invoice item.","ERPNext-Erlös- oder Aufwandskonto der Rechnungsposition."
"Active BMD account number written as the contra account.","Aktive BMD-Kontonummer, die als Gegenkonto ausgegeben wird."
"Inactive mappings are ignored during preview and export.","Inaktive Zuordnungen werden bei Vorschau und Export ignoriert."
"Optional date range and precedence used to resolve competing mappings.","Optionaler Datumsbereich und Vorrang zur Auflösung konkurrierender Zuordnungen."
"First posting date on which this mapping may be used; empty means no lower limit.","Erstes Buchungsdatum, an dem die Zuordnung verwendet werden darf; leer bedeutet keine Untergrenze."
"Last posting date on which this mapping may be used; empty means no upper limit.","Letztes Buchungsdatum, an dem die Zuordnung verwendet werden darf; leer bedeutet keine Obergrenze."
"Higher values win when otherwise equally specific mappings match.","Höhere Werte gewinnen bei ansonsten gleich spezifischen Zuordnungen."
"When filled, all conditions must match the invoice item before this mapping applies.","Wenn befüllt, müssen alle Bedingungen zur Rechnungsposition passen, damit die Zuordnung gilt."
"Restricts the mapping to invoices for this country.","Beschränkt die Zuordnung auf Rechnungen für dieses Land."
"Restricts the mapping to this ERPNext tax category.","Beschränkt die Zuordnung auf diese ERPNext-Steuerkategorie."
"Restricts the mapping to invoice items in this item group.","Beschränkt die Zuordnung auf Rechnungspositionen dieser Artikelgruppe."
"Maps one ERPNext customer or supplier to its BMD person account.","Ordnet einen ERPNext-Kunden oder -Lieferanten seinem BMD-Personenkonto zu."
"Company for which this party mapping is evaluated.","Unternehmen, für das diese Partnerzuordnung ausgewertet wird."
"Selects whether the linked party is a customer or supplier.","Legt fest, ob der verknüpfte Partner ein Kunde oder Lieferant ist."
"ERPNext customer or supplier to resolve during export.","ERPNext-Kunde oder -Lieferant, der beim Export aufgelöst wird."
"Numeric BMD customer or supplier account written to the booking row.","Numerisches BMD-Kunden- oder Lieferantenkonto für die Buchungszeile."
"Optional date range and precedence for this party mapping.","Optionaler Datumsbereich und Vorrang für diese Partnerzuordnung."
"Higher values win when multiple valid mappings would otherwise rank equally.","Höhere Werte gewinnen, wenn mehrere gültige Zuordnungen ansonsten gleichrangig wären."
"Selects the ERPNext dimension value that should be translated for BMD KORE.","Wählt den ERPNext-Dimensionswert, der für BMD KORE übersetzt werden soll."
"Company for which this dimension mapping is evaluated.","Unternehmen, für das diese Dimensionszuordnung ausgewertet wird."
"ERPNext source category: Cost Center, Project or a custom Accounting Dimension.","ERPNext-Quellkategorie: Kostenstelle, Projekt oder benutzerdefinierte Buchhaltungsdimension."
"ERPNext fieldname of the enabled custom Accounting Dimension, for example business_unit.","ERPNext-Feldname der aktivierten benutzerdefinierten Buchhaltungsdimension, zum Beispiel business_unit."
"Exact ERPNext value that must match the invoice item.","Exakter ERPNext-Wert, der zur Rechnungsposition passen muss."
"Defines the BMD KORE field and value written by this mapping.","Legt das BMD-KORE-Feld und den ausgegebenen Wert fest."
"Supported technical BMD KORE field receiving the mapped value.","Unterstütztes technisches BMD-KORE-Feld für den zugeordneten Wert."
"Value written to the selected BMD KORE field.","Wert, der in das ausgewählte BMD-KORE-Feld geschrieben wird."
"Optional date range and precedence for this dimension mapping.","Optionaler Datumsbereich und Vorrang für diese Dimensionszuordnung."
"Higher values win when multiple mappings target the same BMD field.","Höhere Werte gewinnen, wenn mehrere Zuordnungen dasselbe BMD-Feld ansprechen."
"Conditions used to select the correct tax treatment for each invoice item.","Bedingungen zur Auswahl der richtigen Steuerbehandlung für jede Rechnungsposition."
"Company for which this tax mapping is evaluated.","Unternehmen, für das diese Steuerzuordnung ausgewertet wird."
"Restricts the mapping to sales, purchases or both transaction directions.","Beschränkt die Zuordnung auf Verkauf, Einkauf oder beide Transaktionsrichtungen."
"Optional ERPNext Tax Category condition increasing mapping specificity.","Optionale ERPNext-Steuerkategorie, die die Spezifität der Zuordnung erhöht."
"Optional customer or supplier country condition.","Optionale Länderbedingung für Kunde oder Lieferant."
"Optional derived group such as Domestic, EU or Third Country.","Optionale abgeleitete Gruppe wie Inland, EU oder Drittland."
"Tax percentage matched with three-decimal precision.","Steuerprozentsatz, der mit drei Dezimalstellen abgeglichen wird."
"Optional ERPNext tax account condition from the item tax detail.","Optionale Bedingung für das ERPNext-Steuerkonto aus dem Artikelsteuerdetail."
"Values written to BMD when the matching rules select this tax mapping.","Werte, die bei Auswahl dieser Steuerzuordnung nach BMD geschrieben werden."
"BMD tax code written to the booking row; maximum four characters.","BMD-Steuercode für die Buchungszeile; maximal vier Zeichen."
"Determines whether tax comes from ERPNext, is calculated from net amount, or is zero.","Legt fest, ob die Steuer aus ERPNext stammt, aus dem Nettobetrag berechnet wird oder null ist."
"Controls the sign of the exported BMD tax amount.","Steuert das Vorzeichen des exportierten BMD-Steuerbetrags."
"Exactly one matching tax component per invoice item must be marked for BMD export.","Genau eine passende Steuerkomponente je Rechnungsposition muss für den BMD-Export markiert sein."
"Adds this tax component to the gross booking amount exported to BMD.","Addiert diese Steuerkomponente zum nach BMD exportierten Bruttobuchungsbetrag."
"Documents whether this purchase tax is deductible for the intended BMD treatment.","Dokumentiert, ob diese Vorsteuer für die vorgesehene BMD-Behandlung abzugsfähig ist."
"BMD branch written for bookings using this tax mapping.","BMD-Filiale für Buchungen mit dieser Steuerzuordnung."
"BMD OSS destination-country code for applicable EU distance sales.","BMD-OSS-Ziellandcode für entsprechende EU-Fernverkäufe."
"BMD OSS schema identifier required by the target import.","Vom Zielimport benötigte BMD-OSS-Schemakennung."
"VAT identification number written to the BMD OSS field.","UID-Nummer, die in das BMD-OSS-Feld geschrieben wird."
"Optional date range, precedence and activation state for this tax mapping.","Optionaler Datumsbereich, Vorrang und Aktivierungsstatus dieser Steuerzuordnung."
"Current lifecycle, company and revision information for this immutable export run.","Aktueller Status, Unternehmen und Revisionsinformationen dieses unveränderlichen Exportlaufs."
"ERPNext company whose invoices belong to this export batch.","ERPNext-Unternehmen, dessen Rechnungen zu diesem Exportlauf gehören."
"Workflow-controlled state of validation and export generation.","Vom Ablauf gesteuerter Status der Validierung und Exporterzeugung."
"Revision number within a chain of re-exports.","Revisionsnummer innerhalb einer Kette von Wiederholungsexporten."
"Previous completed batch replaced by this re-export revision.","Vorheriger abgeschlossener Exportlauf, der durch diese Revision ersetzt wird."
"Invoice date range and document types included in this batch.","Rechnungszeitraum und Belegarten dieses Exportlaufs."
"First invoice posting date included in the selection.","Erstes in der Auswahl enthaltenes Rechnungsbuchungsdatum."
"Last invoice posting date included in the selection.","Letztes in der Auswahl enthaltenes Rechnungsbuchungsdatum."
"Includes submitted Sales Invoices and credit notes in the selection.","Nimmt gebuchte Ausgangsrechnungen und Gutschriften in die Auswahl auf."
"Includes submitted Purchase Invoices and debit notes in the selection.","Nimmt gebuchte Eingangsrechnungen und Belastungsanzeigen in die Auswahl auf."
"Read-only timestamps and user information for traceability.","Schreibgeschützte Zeit- und Benutzerangaben zur Nachvollziehbarkeit."
"Reconciled totals and generated row counts for the current preview or export.","Abgestimmte Summen und erzeugte Zeilenzahlen der aktuellen Vorschau oder des Exports."
"Private files generated after successful export completion.","Private Dateien, die nach erfolgreichem Exportabschluss erzeugt wurden."
"Generated BMD booking file without document attachments.","Erzeugte BMD-Buchungsdatei ohne Dokumentanhänge."
"Flat transport package containing the CSV and all referenced documents.","Flaches Transportpaket mit CSV und allen referenzierten Dokumenten."
"Integrity checksum of the generated CSV file.","Integritätsprüfsumme der erzeugten CSV-Datei."
"Integrity checksum of the generated ZIP package.","Integritätsprüfsumme des erzeugten ZIP-Pakets."
"Technical evidence used to reproduce and audit this export result.","Technische Nachweise zur Reproduktion und Prüfung dieses Exportergebnisses."
"Source invoice and validation state within its BMD export batch.","Quellrechnung und Validierungsstatus innerhalb ihres BMD-Exportlaufs."
"Parent export batch containing this invoice result.","Übergeordneter Exportlauf mit diesem Rechnungsergebnis."
"Company inherited from the parent export batch.","Vom übergeordneten Exportlauf übernommenes Unternehmen."
"ERPNext invoice DocType, normally Sales Invoice or Purchase Invoice.","ERPNext-Rechnungsbelegart, normalerweise Ausgangs- oder Eingangsrechnung."
"Direct link to the source ERPNext invoice.","Direkter Link zur ERPNext-Quellrechnung."
"Posting date used to select date-dependent mappings.","Buchungsdatum zur Auswahl datumsabhängiger Zuordnungen."
"Result of validation or completed export generation for this invoice.","Ergebnis der Validierung oder abgeschlossenen Exporterzeugung für diese Rechnung."
"Generated row counts, reconciled totals and technical validation details.","Erzeugte Zeilenzahlen, abgestimmte Summen und technische Validierungsdetails."
"Help","Hilfe"
"Overview","Überblick"
"Initial Setup","Ersteinrichtung"
"Mappings","Zuordnungen"
"Attachment Filenames","Dateinamen der Anhänge"
"Run Export","Export durchführen"
"Import into BMD","In BMD importieren"
"Troubleshooting","Fehlerbehebung"
"BMD Help Chapters","Kapitel der BMD-Hilfe"
"Chapters","Kapitel"
"Open Export Assistant","Export-Assistent öffnen"
"Open Settings","Einstellungen öffnen"
"Open BMD Accounts","BMD-Konten öffnen"
"Account Mapping","Kontenzuordnung"
"Party Mapping","Kunden-/Lieferantenzuordnung"
"Tax Mapping","Steuerzuordnung"
"Dimension Mapping","Dimensionszuordnung"
"Available variables","Verfügbare Variablen"
"Import into BMD NTCS","In BMD NTCS importieren"
"The BMD Export module creates a BMD-compatible buchungen.csv from submitted Sales and Purchase Invoices. A flat ZIP contains the CSV and all referenced documents.","Das BMD-Exportmodul erzeugt aus gebuchten Ausgangs- und Eingangsrechnungen eine BMD-kompatible buchungen.csv. Ein flaches ZIP enthält die CSV und alle referenzierten Dokumente."
"The ZIP is a transport package. Unzip it before importing and select only buchungen.csv in BMD NTCS.","Das ZIP ist ein Transportpaket. Entpacken Sie es vor dem Import und wählen Sie in BMD NTCS ausschließlich buchungen.csv aus."
"Assign BMD Export User or BMD Export Manager to the users involved.","Weisen Sie den beteiligten Benutzern die Rolle BMD Export User oder BMD Export Manager zu."
"Create one BMD Export Settings record for each Company and select an active export profile.","Erstellen Sie je Unternehmen einen Datensatz in den BMD-Exporteinstellungen und wählen Sie ein aktives Exportprofil."
"Import the BMD chart of accounts from the BMD Account list using Import XLSX/CSV.","Importieren Sie den BMD-Kontenplan in der BMD-Kontenliste über XLSX/CSV importieren."
"Create the required account, party, tax and dimension mappings.","Erstellen Sie die benötigten Konto-, Partner-, Steuer- und Dimensionszuordnungen."
"Use the Missing Mappings report before the first export.","Verwenden Sie vor dem ersten Export den Bericht Fehlende Zuordnungen."
"Every exported target value must be resolved unambiguously for the Company and posting date. Missing or equally ranked mappings block the preview.","Jeder exportierte Zielwert muss für Unternehmen und Buchungsdatum eindeutig aufgelöst werden. Fehlende oder gleichrangige Zuordnungen blockieren die Vorschau."
"ERPNext income or expense account to BMD general-ledger account.","ERPNext-Erlös- oder Aufwandskonto zu BMD-Sachkonto."
"Customer or Supplier to BMD person account.","Kunde oder Lieferant zu BMD-Personenkonto."
"Direction, rate, BMD tax code, amount source, sign rule, branch and OSS values.","Richtung, Steuersatz, BMD-Steuercode, Betragsquelle, Vorzeichenregel, Filiale und OSS-Werte."
"Cost Center, Project or Accounting Dimension to a BMD KORE field.","Kostenstelle, Projekt oder Buchhaltungsdimension zu einem BMD-KORE-Feld."
"Identical account numbers are never treated as an automatic mapping.","Identische Kontonummern werden niemals als automatische Zuordnung behandelt."
"The Jinja template in BMD Export Settings is applied to every exported attachment. Only the package copy is renamed; the original ERPNext File remains unchanged.","Die Jinja-Vorlage in den BMD-Exporteinstellungen wird auf jeden exportierten Anhang angewendet. Nur die Kopie im Paket wird umbenannt; die ursprüngliche ERPNext-Datei bleibt unverändert."
"Example: test.pdf becomes AR-2026-0042-Musterkunde.pdf. The verified source extension is appended automatically.","Beispiel: Aus test.pdf wird AR-2026-0042-Musterkunde.pdf. Die geprüfte Originalendung wird automatisch angefügt."
"Use Test Attachment Filename in the settings form to preview the final name.","Verwenden Sie Dateiname des Anhangs testen in den Einstellungen, um den endgültigen Namen vorab zu prüfen."
"Open the BMD Export Assistant and select Company, date range and invoice types.","Öffnen Sie den BMD-Export-Assistenten und wählen Sie Unternehmen, Zeitraum und Rechnungsarten."
"Create the preview and inspect Batch Items, totals, final document names, errors and warnings.","Erstellen Sie die Vorschau und prüfen Sie Exportpositionen, Summen, endgültige Dokumentnamen, Fehler und Warnungen."
"Resolve all blocking errors and refresh the preview until the batch is Ready.","Beheben Sie alle blockierenden Fehler und aktualisieren Sie die Vorschau, bis der Exportlauf bereit ist."
"Select Generate Export. The background job verifies all fingerprints again.","Wählen Sie Export erzeugen. Der Hintergrundauftrag prüft alle Fingerabdrücke erneut."
"Download the private CSV or ZIP after the batch reaches Completed.","Laden Sie die private CSV- oder ZIP-Datei herunter, sobald der Exportlauf abgeschlossen ist."
"Download the completed transport ZIP.","Laden Sie das abgeschlossene Transport-ZIP herunter."
"Unzip CSV and documents into the same folder.","Entpacken Sie CSV und Dokumente in denselben Ordner."
"Start the booking import in BMD NTCS and select only buchungen.csv.","Starten Sie den Buchungsimport in BMD NTCS und wählen Sie ausschließlich buchungen.csv."
"Check booking symbols, tax codes, split groups, KORE rows, totals and document links in the BMD preview.","Prüfen Sie Buchungssymbole, Steuercodes, Splitgruppen, KORE-Zeilen, Summen und Dokumentverknüpfungen in der BMD-Vorschau."
"Create a valid mapping for the Company and posting date.","Erstellen Sie eine gültige Zuordnung für Unternehmen und Buchungsdatum."
"Remove an overlap or assign a unique priority.","Entfernen Sie die Überschneidung oder vergeben Sie eine eindeutige Priorität."
"Check requirement, file size, extension, MIME type and readability.","Prüfen Sie Pflichtstatus, Dateigröße, Endung, MIME-Typ und Lesbarkeit."
"Choose UTF-8 or change characters that cannot be represented by CP1252.","Wählen Sie UTF-8 oder ändern Sie Zeichen, die in CP1252 nicht dargestellt werden können."
"Check invoice totals, item tax details, mapping amount sources and GL entries.","Prüfen Sie Rechnungssummen, Artikelsteuerdetails, Betragsquellen der Zuordnungen und Sachkontobuchungen."
"A failed batch can be validated again. A completed batch is immutable; managers create a separate re-export revision.","Ein fehlgeschlagener Exportlauf kann erneut validiert werden. Ein abgeschlossener Exportlauf ist unveränderlich; Manager erstellen eine eigene Wiederholungsexport-Revision."
"Create a validated preview first. The export renames only package copies of attachments; ERPNext files remain unchanged.","Erstellen Sie zuerst eine validierte Vorschau. Der Export benennt nur Kopien der Anhänge im Paket um; ERPNext-Dateien bleiben unverändert."
"Create Preview","Vorschau erstellen"
"Company and date range are required.","Unternehmen und Zeitraum sind erforderlich."
"Validating BMD export...","BMD-Export wird validiert …"
"Refresh Preview","Vorschau aktualisieren"
"Generate Export","Export erzeugen"
"Create Re-export","Wiederholungsexport erstellen"
"BMD import: unzip the transport package, then select only buchungen.csv in NTCS.","BMD-Import: Transportpaket entpacken und anschließend ausschließlich buchungen.csv in NTCS auswählen."
"Test Attachment Filename","Dateiname des Anhangs testen"
"Export Filename Preview","Vorschau des Exportdateinamens"
"Import XLSX/CSV","XLSX/CSV importieren"
"Import BMD Accounts","BMD-Konten importieren"
"Select File and Preview","Datei auswählen und Vorschau anzeigen"
"rows","Zeilen"
"invalid","ungültig"
"Error Code","Fehlercode"
"Message","Meldung"
"Context","Kontext"
